Period,OOS,Realized,ARX,RW,HM
1987-07-31,False,0.4716981132075526,0.5052596990745339,0.2350176263219872,6.380329589655977
1987-08-31,False,0.5910165484633634,0.6308057517289134,0.4716981132075526,6.350637974196437
1987-09-30,False,0.4711425206124886,0.39238893355211246,0.5910165484633634,6.321839867067772
1987-10-31,False,0.4700352526439744,0.284601701013254,0.4711425206124664,6.292731920070482
1987-11-30,False,0.588235294117645,0.6962402915432708,0.4700352526439522,6.263906689043618
1987-12-31,False,0.588235294117645,0.6540069880963895,0.588235294117645,6.235947716654819
1988-01-31,False,0.7100591715976323,0.8464613235037222,0.588235294117645,6.208262851838461
1988-02-29,False,0.47281323877068626,0.5724938655939704,0.7100591715976323,6.181442346081189
1988-03-31,False,0.47225501770957745,0.44321405366292144,0.47281323877068626,6.153730554298128
1988-04-30,False,0.23474178403757318,0.21455410230595273,0.47225501770955525,6.126283812575478
1988-05-31,False,0.46948356807507974,0.48976391253017226,0.23474178403755097,6.097959091284431
1988-06-30,False,0.3516998827667095,0.3682582207000129,0.46948356807510194,6.0710285863886915
1988-07-31,False,0.23474178403755097,0.36786050676442805,0.3516998827667095,6.043793687800016
1988-08-31,False,0.2350176263219872,0.26027924060985086,0.23474178403755097,6.0162626361234155
1988-09-30,False,0.4689331770222793,0.39122595666971627,0.2350176263219872,5.988992612492278
1988-10-31,False,0.46783625730992817,0.3410399686948118,0.4689331770222793,5.963076840494766
1988-11-30,False,0.5847953216374435,0.7721966757069154,0.4678362573099504,5.937398146180818
1988-12-31,False,0.7017543859648923,0.6990505370302325,0.5847953216374213,5.912502319089919
1989-01-31,False,0.7050528789659394,0.9299594931209576,0.7017543859649145,5.888378486066192
1989-02-28,False,0.8235294117647118,0.91252233676542,0.7050528789659394,5.864492192945915
1989-03-31,False,1.057579318448898,1.1104057172258264,0.8235294117647118,5.841368510463432
1989-04-30,False,2.459016393442637,2.18535009101013,1.057579318448898,5.819524724198525
1989-05-31,False,2.686915887850483,2.85316050691391,2.4590163934426146,5.8042496863314526
1989-06-30,False,2.8037383177570208,2.610339299264175,2.686915887850483,5.790144103532897
1989-07-31,False,2.9274004683840893,3.0023021405001016,2.8037383177570208,5.77669182521859
1989-08-31,False,2.9308323563892236,2.8854649388473153,2.927400468384067,5.763914733932337
1989-09-30,False,2.9171528588098017,3.0736719907503263,2.9308323563892236,5.751267044746877
1989-10-31,False,2.9103608847496965,2.8260562423926716,2.9171528588098017,5.7386709816982675
1989-11-30,False,2.9069767441860517,3.0316552157644505,2.9103608847497187,5.726156335251592
1989-12-31,False,2.9036004645760505,2.7842777826435183,2.9069767441860517,5.713737041898881
1990-01-31,False,3.267211201866971,3.4276097949446083,2.9036004645760727,5.701411881472026
1990-02-28,False,3.1505250875145885,3.0660864570765556,3.267211201866971,5.690782184181175
1990-03-31,False,3.2558139534883734,3.1788490871136332,3.1505250875145885,5.679737588108711
1990-04-30,False,2.1714285714285797,2.2205717352230314,3.2558139534883734,5.669244412201263
1990-05-31,False,2.1615472127417323,2.1325772853550307,2.1714285714285797,5.65416761978414
1990-06-30,False,2.0454545454545503,2.0342540387474184,2.1615472127417323,5.639177832629453
1990-07-31,False,2.1615472127417323,2.2431332356568356,2.0454545454545503,5.623820040803918
1990-08-31,False,2.277904328018221,2.2041283203650064,2.1615472127417323,5.609086964939824
1990-09-30,False,2.494331065759625,2.468523533855338,2.277904328018221,5.594971784274901
1990-10-31,False,2.941176470588225,2.6796290137352408,2.4943310657596474,5.58188891204488
1990-11-30,False,3.1638418079096065,3.190890719141759,2.941176470588225,5.570793481618591
1990-12-31,False,3.273137697516937,3.231612213106083,3.1638418079096065,5.560722554113532
1991-01-31,False,3.276836158192098,3.3788813754436653,3.273137697516937,5.55119095054438
1991-02-28,False,3.167420814479649,3.2012601592604994,3.276836158192098,5.54175379372964
1991-03-31,False,3.1531531531531654,3.059102554442461,3.1674208144796268,5.531942500426954
1991-04-30,False,3.0201342281879207,2.804450506714984,3.153153153153143,5.522153243853811
1991-05-31,False,3.0066815144766057,3.09113549315454,3.0201342281878985,5.5118990675600985
1991-06-30,False,3.118040089086871,3.2157111480295653,3.006681514476628,5.50167368979241
1991-07-31,False,3.1180400890868487,3.2909766189839873,3.1180400890868487,5.4919841223098675
1991-08-31,False,3.0066815144766057,3.0321479545478702,3.1180400890868487,5.48237301286362
1991-09-30,False,2.7654867256637017,2.7915909898696967,3.006681514476628,5.472390385853996
1991-10-31,False,2.417582417582431,2.223772066961649,2.765486725663724,5.461519286817087
1991-11-30,False,2.300109529025174,2.205957478983467,2.417582417582431,5.4493435393401475
1991-12-31,False,2.2950819672131084,2.2463713152350184,2.300109529025196,5.436796790295069
1992-01-31,False,2.0787746170678245,2.2837808939301762,2.2950819672131084,5.424329667981251
1992-02-29,False,2.3026315789473673,2.2852121562961347,2.0787746170678245,5.411106130230606
1992-03-31,False,2.183406113537112,2.32492945071463,2.3026315789473673,5.3988680414460255
1992-04-30,False,2.6058631921824116,2.344014326797561,2.183406113537112,5.386258386826775
1992-05-31,False,2.4864864864864833,2.4355187062500283,2.6058631921824116,5.375397468097695
1992-06-30,False,2.4838012958963374,2.5600522952706983,2.4864864864864833,5.364156569336562
1992-07-31,False,2.159827213822907,2.277012187617511,2.4838012958963374,5.35299240161005
1992-08-31,False,2.1621621621621623,2.3370218068890614,2.1598272138228847,5.3406635784911805
1992-09-30,False,2.2604951560817987,2.1501838543893648,2.1621621621621623,5.328438573043762
1992-10-31,False,2.145922746781137,1.9934381070213725,2.2604951560817987,5.3166840005649805
1992-11-30,False,2.1413276231263323,1.9529139848339927,2.145922746781115,5.304581858374965
1992-12-31,False,1.9230769230769384,1.935720223924564,2.1413276231263323,5.292554275731434
1993-01-31,False,1.7148981779206762,1.789063387837464,1.9230769230769384,5.279791103941076
1993-02-28,False,1.7148981779206984,1.685257273855112,1.7148981779206984,5.26633867780515
1993-03-31,False,1.7094017094017255,1.8329328057484329,1.7148981779206984,5.252987397730396
1993-04-30,False,1.3756613756613856,1.2234361795582238,1.7094017094017255,5.239715541219802
1993-05-31,False,1.2658227848101333,1.451931003016349,1.3756613756613634,5.225297428661748
1993-06-30,False,1.264488935721797,1.1450572150143001,1.2658227848101333,5.210578192067505
1993-07-31,False,1.268498942917562,1.4784443339160847,1.264488935721797,5.195963046673631
1993-08-31,False,1.2698412698412653,1.1622503123523975,1.2684989429175397,5.181470559205897
1993-09-30,False,1.1578947368421133,1.089235974162639,1.2698412698412653,5.167089569171468
1993-10-31,False,1.1554621848739455,1.1905601003276312,1.157894736842091,5.15240387381495
1993-11-30,False,0.943396226415083,0.8677756359531053,1.1554621848739455,5.137816495388159
1993-12-31,False,0.8385744234800763,0.9228589778658591,0.943396226415083,5.1225640580464376
1994-01-31,False,0.9483667017913477,0.9209609587011114,0.8385744234800763,5.107042356471922
1994-02-28,False,0.8429926238145313,0.8539491812101341,0.9483667017913477,5.092029086960441
