Period,Realized,RW,HM,ARX,OOS
1987-07-31,-0.11723329425555873,0.11737089201877549,0.19496799847088916,-0.08386843515215557,False
1987-08-31,-0.11737089201878659,-0.11723329425555873,0.19496799847088916,-0.0778618944100252,False
1987-09-30,0.2350176263219872,-0.11737089201878659,0.19496799847088916,0.15644912407257322,False
1987-10-31,0.23446658851113966,0.2350176263219872,0.19496799847088916,0.04946781660288836,False
1987-11-30,0.0,0.23446658851113966,0.19496799847088916,0.10737338925355203,False
1987-12-31,0.0,0.0,0.19496799847088916,0.06538706418938244,False
1988-01-31,-0.4678362573099504,0.0,0.19496799847088916,-0.33302945220979213,False
1988-02-29,-0.1175088131609825,-0.4678362573099504,0.19496799847088916,-0.01841385394537641,False
1988-03-31,0.11764705882353343,-0.1175088131609825,0.19496799847088916,0.08870859229703298,False
1988-04-30,0.3525264394829808,0.11764705882353343,0.19496799847088916,0.3323150354461553,False
1988-05-31,0.23419203747070405,0.3525264394829808,0.19496799847088916,0.2544248869739136,False
1988-06-30,0.0,0.23419203747070405,0.19496799847088916,0.01650030637511206,False
1988-07-31,-0.2336448598130758,0.0,0.19496799847088916,-0.10114818719238956,False
1988-08-31,-0.11709601873537423,-0.2336448598130758,0.19496799847088916,-0.09192314548130029,False
1988-09-30,0.4689331770222793,-0.11709601873537423,0.19496799847088916,0.3912259566697183,False
1988-10-31,0.2333722287047868,0.4689331770222793,0.19496799847088916,0.10687184741430643,False
1988-11-30,0.11641443538998875,0.2333722287047868,0.19496799847088916,0.302943140546457,False
1988-12-31,0.11627906976743319,0.11641443538998875,0.19496799847088916,0.11359094088472549,False
1989-01-31,-0.464576074332157,0.11627906976743319,0.19496799847088916,-0.24228161597451955,False
1989-02-28,0.0,-0.464576074332157,0.19496799847088916,0.08826602829708123,False
1989-03-31,0.3500583430571691,0.0,0.19496799847088916,0.40251489540158575,False
1989-04-30,1.744186046511631,0.3500583430571691,0.19496799847088916,1.472429043863546,False
1989-05-31,0.45714285714286707,1.744186046511631,0.19496799847088916,0.6197775930494791,False
1989-06-30,0.11376564277587597,0.45714285714286707,0.19496799847088916,-0.07457287807721508,False
1989-07-31,-0.1136363636363602,0.11376564277587597,0.19496799847088916,-0.04094769546921745,False
1989-08-31,-0.11376564277588708,-0.1136363636363602,0.19496799847088916,-0.15779113442918596,False
1989-09-30,0.4555808656036442,-0.11376564277588708,0.19496799847088916,0.6083563736595102,False
1989-10-31,0.22675736961450532,0.4555808656036442,0.19496799847088916,0.14465114763642684,False
1989-11-30,0.11312217194570096,0.22675736961450532,0.19496799847088916,0.23441570764413786,False
1989-12-31,0.11299435028246929,0.11312217194570096,0.19496799847088916,-0.0030924623095210687,False
1990-01-31,-0.11286681715575453,0.11299435028246929,0.19496799847088916,0.04228170910557489,False
1990-02-28,-0.1129943502824804,-0.11286681715575453,0.19496799847088916,-0.1947614760286872,False
1990-03-31,0.4524886877828038,-0.1129943502824804,0.19496799847088916,0.3776133652915508,False
1990-04-30,0.6756756756756799,0.4524886877828038,0.19496799847088916,0.7240994012614268,False
1990-05-31,0.4474272930648615,0.6756756756756799,0.19496799847088916,0.41894343828530006,False
1990-06-30,0.0,0.4474272930648615,0.19496799847088916,-0.010975997663997199,False
1990-07-31,0.0,0.0,0.19496799847088916,0.07985981530331965,False
1990-08-31,0.0,0.0,0.19496799847088916,-0.07213288944268306,False
1990-09-30,0.6681514476614803,0.0,0.19496799847088916,0.6428037381519076,False
1990-10-31,0.6637168141592875,0.6681514476614803,0.19496799847088916,0.407955805466771,False
1990-11-30,0.3296703296703285,0.6637168141592875,0.19496799847088916,0.3559761389455589,False
1990-12-31,0.21905805038335835,0.3296703296703285,0.19496799847088916,0.1787605923461022,False
1991-01-31,-0.10928961748633004,0.21905805038335835,0.19496799847088916,-0.01059014506267961,False
1991-02-28,-0.2188183807439903,-0.10928961748633004,0.19496799847088916,-0.1860897365576916,False
1991-03-31,0.43859649122806044,-0.2188183807439903,0.19496799847088916,0.3470209082728923,False
1991-04-30,0.5458515283842891,0.43859649122806044,0.19496799847088916,0.3353479836279569,False
1991-05-31,0.43431053203040193,0.5458515283842891,0.19496799847088916,0.5166554536946532,False
1991-06-30,0.108108108108107,0.43431053203040193,0.19496799847088916,0.20292822803301533,False
1991-07-31,0.0,0.108108108108107,0.19496799847088916,0.16770734756763686,False
1991-08-31,-0.10799136069113979,0.0,0.19496799847088916,-0.08329496416415748,False
1991-09-30,0.432432432432428,-0.10799136069113979,0.19496799847088916,0.4579440592888673,False
1991-10-31,0.32292787944026013,0.432432432432428,0.19496799847088916,0.13308135730365664,False
1991-11-30,0.21459227467810482,0.32292787944026013,0.19496799847088916,0.12235963338187478,False
1991-12-31,0.21413276231261325,0.21459227467810482,0.19496799847088916,0.166413012248433,False
1992-01-31,-0.3205128205128194,0.21413276231261325,0.19496799847088916,-0.12032506725192865,False
1992-02-29,0.0,-0.3205128205128194,0.19496799847088916,-0.017027345614076136,False
1992-03-31,0.3215434083601254,0.0,0.19496799847088916,0.46048807808637837,False
1992-04-30,0.9615384615384581,0.3215434083601254,0.19496799847088916,0.7038858920732478,False
1992-05-31,0.31746031746031633,0.9615384615384581,0.19496799847088916,0.2675712204034525,False
1992-06-30,0.10548523206752591,0.31746031746031633,0.19496799847088916,0.17996669348170277,False
1992-07-31,-0.31612223393046035,0.10548523206752591,0.19496799847088916,-0.20177735960611007,False
1992-08-31,-0.10570824524311906,-0.31612223393046035,0.19496799847088916,0.06526973718010701,False
1992-09-30,0.5291005291005346,-0.10570824524311906,0.19496799847088916,0.42065693198699855,False
1992-10-31,0.21052631578948322,0.5291005291005346,0.19496799847088916,0.06093085867780817,False
1992-11-30,0.21008403361344463,0.21052631578948322,0.19496799847088916,0.025232838061933164,False
1992-12-31,0.0,0.21008403361344463,0.19496799847088916,0.012404748001428208,False
1993-01-31,-0.524109014675056,0.0,0.19496799847088916,-0.45157637227216313,False
1993-02-28,0.0,-0.524109014675056,0.19496799847088916,-0.02914116279577799,False
1993-03-31,0.31612223393044925,0.0,0.19496799847088916,0.4379611234778877,False
1993-04-30,0.6302521008403339,0.31612223393044925,0.19496799847088916,0.4791462076496952,False
1993-05-31,0.20876826722338038,0.6302521008403339,0.19496799847088916,0.39293381091804724,False
1993-06-30,0.10416666666666075,0.20876826722338038,0.19496799847088916,-0.013896565574400034,False
1993-07-31,-0.3121748178980255,0.10416666666666075,0.19496799847088916,-0.10550641010967282,False
1993-08-31,-0.10438413361169019,-0.3121748178980255,0.19496799847088916,-0.2105150885458876,False
1993-09-30,0.4179728317659226,-0.10438413361169019,0.19496799847088916,0.3498162752920388,False
1993-10-31,0.20811654526535772,0.4179728317659226,0.19496799847088916,0.24288576015807378,False
1993-11-30,0.0,0.20811654526535772,0.19496799847088916,-0.0749138559716814,False
