,months,total_return,ann_return,ann_vol,sharpe,max_drawdown,hit_rate
Strategy_unit,25.0,0.17766655776541862,0.0816598872184906,0.09864187181307353,0.8475262890137821,-0.047467751159687266,0.52
Strategy_volTarget,25.0,0.13370191090767736,0.06208545606084015,0.09474626527602001,0.6850056911532851,-0.0396617615491911,0.52
Buy&Hold_USDJPY,25.0,0.009634510193933243,0.004613036692701966,0.10165500250328358,0.09609921739258391,-0.09366461206074861,0.48
