Period,ARX,Expectation,Surprise,Signal,USDJPY_position
2024-06-30,0.2469908460901939,0.3734827264239015,-0.12649188033370762,-1,1
2024-07-31,0.373570435119768,0.2790697674418529,0.0945006676779151,1,-1
2024-08-31,0.3894267876958189,0.4638218923933124,-0.0743951046974935,-1,1
2024-09-30,-0.4736796300531375,0.3693444136657398,-0.8430240437188773,-1,1
2024-10-31,0.407532425117003,-0.4599816007359703,0.8675140258529732,1,-1
2024-11-30,0.4008171902859053,0.5545286506469349,-0.15371146036102962,-1,1
2024-12-31,0.2867962724560165,0.3676470588235281,-0.08085078636751158,-1,1
2025-01-31,0.1185812768963828,0.366300366300365,-0.24771908940398218,-1,1
2025-02-28,-0.1498104439276746,0.1824817518248256,-0.3322921957525002,-1,1
2025-03-31,0.4525691169150063,-0.091074681238612,0.5436437981536183,1,-1
2025-04-30,0.7638480103865828,0.4557885141294404,0.3080594962571424,1,-1
2025-05-31,0.3882418792757494,0.6352087114337657,-0.2469668321580163,-1,1
2025-06-30,-0.1234422322423192,0.450856627592433,-0.5742988598347523,-1,1
2025-07-31,0.1570354889501624,0.0,0.1570354889501624,1,-1
2025-08-31,0.1251434122057353,0.1795332136445226,-0.0543898014387873,-1,1
2025-09-30,-0.4868812236567353,0.0,-0.4868812236567353,-1,1
2025-10-31,0.7820483534111795,-0.1792114695340352,0.9612598229452147,1,-1
2025-11-30,0.380281554166143,0.6283662477558183,-0.24808469358967528,-1,1
2025-12-31,-0.1853906169331983,0.3568242640499708,-0.5422148809831691,-1,1
2026-01-31,-0.1958864107817605,-0.2666666666666595,0.070780255884899,1,-1
2026-02-28,-0.2946287685839466,-0.1782531194295944,-0.1163756491543522,-1,1
2026-03-31,0.373653055371668,-0.5357142857142838,0.9093673410859517,1,-1
2026-04-30,0.7390005127713417,0.6283662477558183,0.11063426501552343,1,-1
2026-05-31,0.2831294208622065,0.3568242640499708,-0.07369484318776431,-1,1
2026-06-30,0.1261813731061576,0.4444444444444473,-0.3182630713382897,-1,1
